2021 rank,City,State[c],2021 estimate,2020 census,Change,2020 land area,2020 land area2,2020 population density,2020 population density2,Location
31,Milwaukee,Wisconsin,"569,330","577,222",?1.37%,96.2 sq mi,249.2 km,"6,000/sq mi","2,300/km",43°04?N 87°58?W? / ?43.06°N 87.96°W
32,Albuquerque,New Mexico,"562,599","564,559",?0.35%,187.3 sq mi,485.1 km,"3,014/sq mi","1,164/km",35°06?N 106°38?W? / ?35.10°N 106.64°W
33,Fresno,California,"544,510","542,107",+0.44%,115.2 sq mi,298.4 km,"4,706/sq mi","1,817/km",36°47?N 119°47?W? / ?36.78°N 119.79°W
34,Tucson,Arizona,"543,242","542,629",+0.11%,241.0 sq mi,624.2 km,"2,252/sq mi",870/km,32°09?N 110°52?W? / ?32.15°N 110.87°W
35,Sacramento,California,"525,041","524,943",+0.02%,98.6 sq mi,255.4 km,"5,324/sq mi","2,056/km",38°34?N 121°28?W? / ?38.56°N 121.46°W
36,Mesa,Arizona,"509,475","504,258",+1.03%,138.7 sq mi,359.2 km,"3,636/sq mi","1,404/km",33°24?N 111°43?W? / ?33.40°N 111.71°W
37,Kansas City,Missouri,"508,394","508,090",+0.06%,314.7 sq mi,815.1 km,"1,615/sq mi",624/km,39°07?N 94°33?W? / ?39.12°N 94.55°W
38,Atlanta,Georgia,"496,461","498,715",?0.45%,135.3 sq mi,350.4 km,"3,686/sq mi","1,423/km",33°46?N 84°25?W? / ?33.76°N 84.42°W
39,Omaha,Nebraska,"487,300","486,051",+0.26%,133.2 sq mi,345.0 km,"3,433/sq mi","1,325/km",41°16?N 96°02?W? / ?41.26°N 96.04°W
40,Colorado Springs,Colorado,"483,956","478,961",+1.04%,195.4 sq mi,506.1 km,"2,451/sq mi",946/km,38°52?N 104°46?W? / ?38.86°N 104.76°W
41,Raleigh,North Carolina,"469,124","467,665",+0.31%,145.1 sq mi,375.8 km,"3,179/sq mi","1,227/km",35°50?N 78°38?W? / ?35.83°N 78.64°W
42,Virginia Beach,Virginia,"457,672","459,470",?0.39%,244.7 sq mi,633.8 km,"1,878/sq mi",725/km,36°47?N 76°01?W? / ?36.78°N 76.02°W
43,Long Beach,California,"456,062","466,742",?2.29%,50.7 sq mi,131.3 km,"9,206/sq mi","3,554/km",33°48?N 118°09?W? / ?33.80°N 118.15°W
44,Miami,Florida,"439,890","442,241",?0.53%,36.0 sq mi,93.2 km,"12,284/sq mi","4,743/km",25°46?N 80°12?W? / ?25.77°N 80.20°W
45,Oakland,California,"433,823","440,646",?1.55%,55.9 sq mi,144.8 km,"7,883/sq mi","3,044/km",37°46?N 122°13?W? / ?37.76°N 122.22°W
46,Minneapolis,Minnesota,"425,336","429,954",?1.07%,54.0 sq mi,139.9 km,"7,962/sq mi","3,074/km",44°58?N 93°16?W? / ?44.96°N 93.26°W
47,Tulsa,Oklahoma,"411,401","413,066",?0.40%,197.5 sq mi,511.5 km,"2,091/sq mi",807/km,36°07?N 95°54?W? / ?36.12°N 95.90°W
48,Bakersfield,California,"407,615","403,455",+1.03%,149.8 sq mi,388.0 km,"2,693/sq mi","1,040/km",35°19?N 119°01?W? / ?35.32°N 119.01°W
49,Wichita,Kansas,"395,699","397,532",?0.46%,162.0 sq mi,419.6 km,"2,454/sq mi",947/km,37°41?N 97°20?W? / ?37.69°N 97.34°W
50,Arlington,Texas,"392,786","394,266",?0.38%,95.9 sq mi,248.4 km,"4,111/sq mi","1,587/km",32°42?N 97°07?W? / ?32.70°N 97.12°W
51,Aurora,Colorado,"389,347","386,261",+0.80%,160.1 sq mi,414.7 km,"2,413/sq mi",932/km,39°41?N 104°41?W? / ?39.68°N 104.68°W
52,Tampa,Florida,"387,050","384,959",+0.54%,114.0 sq mi,295.3 km,"3,377/sq mi","1,304/km",27°58?N 82°28?W? / ?27.97°N 82.47°W
53,New Orleans,Louisiana,"376,971","383,997",?1.83%,169.5 sq mi,439.0 km,"2,265/sq mi",875/km,30°03?N 89°56?W? / ?30.05°N 89.93°W
54,Cleveland,Ohio,"367,991","372,624",?1.24%,77.7 sq mi,201.2 km,"4,796/sq mi","1,852/km",41°28?N 81°40?W? / ?41.47°N 81.67°W
55,Anaheim,California,"345,940","346,824",?0.25%,50.3 sq mi,130.3 km,"6,895/sq mi","2,662/km",33°51?N 117°46?W? / ?33.85°N 117.76°W
56,Honolulu,Hawaii,"345,510","350,964",?1.55%,60.5 sq mi,156.7 km,"5,801/sq mi","2,240/km",21°19?N 157°50?W? / ?21.32°N 157.84°W
57,Henderson,Nevada,"322,178","317,610",+1.44%,106.2 sq mi,275.1 km,"2,991/sq mi","1,155/km",36°00?N 115°02?W? / ?36.00°N 115.03°W
58,Stockton,California,"322,120","320,804",+0.41%,62.2 sq mi,161.1 km,"5,158/sq mi","1,992/km",37°58?N 121°19?W? / ?37.97°N 121.31°W
59,Lexington,Kentucky,"321,793","322,570",?0.24%,283.6 sq mi,734.5 km,"1,137/sq mi",439/km,38°02?N 84°27?W? / ?38.04°N 84.45°W
60,Corpus Christi,Texas,"317,773","317,863",?0.03%,162.2 sq mi,420.1 km,"1,960/sq mi",760/km,27°45?N 97°10?W? / ?27.75°N 97.17°W
61,Riverside,California,"317,261","314,998",+0.72%,81.2 sq mi,210.3 km,"3,879/sq mi","1,498/km",33°56?N 117°23?W? / ?33.93°N 117.39°W
62,Santa Ana,California,"309,441","310,227",?0.25%,27.3 sq mi,70.7 km,"11,364/sq mi","4,388/km",33°44?N 117°53?W? / ?33.73°N 117.88°W
63,Orlando,Florida,"309,154","307,573",+0.51%,110.6 sq mi,286.5 km,"2,781/sq mi","1,074/km",28°25?N 81°16?W? / ?28.41°N 81.27°W
64,Irvine,California,"309,031","307,670",+0.44%,65.6 sq mi,169.9 km,"4,690/sq mi","1,810/km",33°40?N 117°46?W? / ?33.67°N 117.77°W
65,Cincinnati,Ohio,"308,935","309,317",?0.12%,77.8 sq mi,201.5 km,"3,976/sq mi","1,535/km",39°08?N 84°30?W? / ?39.14°N 84.50°W
66,Newark,New Jersey,"307,220","311,549",?1.39%,24.1 sq mi,62.4 km,"12,927/sq mi","4,991/km",40°43?N 74°10?W? / ?40.72°N 74.17°W
67,Saint Paul,Minnesota,"307,193","311,527",?1.39%,52.0 sq mi,134.7 km,"5,991/sq mi","2,313/km",44°56?N 93°06?W? / ?44.94°N 93.10°W
68,Pittsburgh,Pennsylvania,"300,431","302,971",?0.84%,55.4 sq mi,143.5 km,"5,469/sq mi","2,112/km",40°26?N 79°58?W? / ?40.43°N 79.97°W
69,Greensboro,North Carolina,"298,263","299,035",?0.26%,129.6 sq mi,335.7 km,"2,307/sq mi",891/km,36°05?N 79°49?W? / ?36.09°N 79.82°W
70,St. Louis,Missouri,"293,310","301,578",?2.74%,61.7 sq mi,159.8 km,"4,888/sq mi","1,887/km",38°38?N 90°14?W? / ?38.63°N 90.24°W
71,Lincoln,Nebraska,"292,657","291,082",+0.54%,97.7 sq mi,253.0 km,"2,979/sq mi","1,150/km",40°49?N 96°41?W? / ?40.81°N 96.68°W
72,Plano,Texas,"288,253","285,494",+0.97%,71.7 sq mi,185.7 km,"3,982/sq mi","1,537/km",33°03?N 96°44?W? / ?33.05°N 96.74°W
73,Anchorage,Alaska,"288,121","291,247",?1.07%,"1,706.8 sq mi","4,420.6 km",171/sq mi,66/km,61°10?N 149°17?W? / ?61.17°N 149.28°W
74,Durham,North Carolina,"285,527","283,506",+0.71%,112.8 sq mi,292.2 km,"2,513/sq mi",970/km,35°59?N 78°54?W? / ?35.98°N 78.90°W
75,Jersey City,New Jersey,"283,927","292,449",?2.91%,14.7 sq mi,38.1 km,"19,894/sq mi","7,681/km",40°43?N 74°04?W? / ?40.71°N 74.06°W
76,Chandler,Arizona,"279,458","275,987",+1.26%,65.3 sq mi,169.1 km,"4,226/sq mi","1,632/km",33°17?N 111°51?W? / ?33.28°N 111.85°W
77,Chula Vista,California,"277,220","275,487",+0.63%,49.6 sq mi,128.5 km,"5,554/sq mi","2,144/km",32°37?N 117°01?W? / ?32.62°N 117.01°W
